,degree,strength,betweenness,closeness,eigenvector,katz,pagerank,hub,authority,clustering,kcore
DALBHARAT.NS,263,79.94392558900874,0.0007080147267063154,0.2267489476687086,0.06403781004972982,0.06630283713522026,0.0034952955091872725,0.003739877430841358,0.003739877430841362,0.2445401352271777,158
DATAPATTNS.NS,199,57.0274086481721,5.446267128510119e-05,0.20192276868046916,0.049424433514995494,0.053931170236877886,0.002513378430983917,0.0028864404215464077,0.0028864404215464086,0.2803781247237961,158
DEEPAKFERT.NS,200,56.563572307107044,2.1785068514040475e-05,0.20497553960201817,0.04690110521596375,0.05177412454942588,0.002571789637793672,0.002739075317261551,0.0027390753172615505,0.2578486924235487,157
DEEPAKNTR.NS,304,93.83093931739391,0.0026795634272269784,0.24386458116474824,0.06975760802554765,0.07195076309106828,0.004203897331969631,0.004073919824579078,0.004073919824579081,0.21635000427945256,158
DELHIVERY.NS,79,20.06394975374481,0.0,0.16829688682327099,0.019899556500447377,0.01983641095944943,0.00109886167457365,0.0011621556418306897,0.001162155641830689,0.30720612639038314,78
DEVYANI.NS,78,20.1265064797935,0.0005010565758229309,0.16867576530063405,0.017110796124655714,0.017033461500821856,0.001192808136681984,0.0009992890169203674,0.0009992890169203679,0.26679211842819434,77
DIVISLAB.NS,48,13.259643993516429,0.00018517308236934405,0.16216918610909098,0.007130095267462032,0.002077637098596544,0.0011398224567329132,0.000416405282282799,0.0004164052822827991,0.2026650857552637,39
DIXON.NS,269,78.26566351703768,0.00045748643879484996,0.22042909645862913,0.061784900244849505,0.06780322772627952,0.0034630358334950435,0.003608305059355672,0.003608305059355667,0.23491978532769406,158
LALPATHLAB.NS,16,4.570141668441483,2.1785068514040475e-05,0.13745291539127885,0.0017244676821639266,-0.00500715599916764,0.0006309129502339504,0.00010071077945563493,0.00010071077945563491,0.285180037029883,16
DRREDDY.NS,23,6.707399951446379,0.00010892534257020238,0.14369621440844899,0.002593072289168874,-0.003919491232126274,0.0007956176915757372,0.0001514382288100075,0.00015143822881000756,0.2334225994796495,21
EIDPARRY.NS,208,59.11580518869371,6.535520554212142e-05,0.2024717245804235,0.04995451942595552,0.05545251253410564,0.002635889575725059,0.002917398012589368,0.002917398012589367,0.26771967090120846,158
EIHOTEL.NS,112,30.43464567903458,0.0,0.18176524440766717,0.028794054551879993,0.02985853362064989,0.0014905427822362533,0.0016816039567462576,0.0016816039567462565,0.30591312783299485,107
EICHERMOT.NS,141,38.181031291010925,1.0892534257020238e-05,0.18466805738831762,0.03203466905092415,0.03429544995069172,0.0019108132646682538,0.001870859351607836,0.0018708593516078356,0.2578604225527893,121
ELECON.NS,257,75.15212026163279,2.1785068514040475e-05,0.2184173396656182,0.06099897656015892,0.06670738457497878,0.003248323133484592,0.0035624062653704354,0.003562406265370435,0.24958619635408233,158
ELGIEQUIP.NS,93,23.75232470750896,0.0,0.16773986913500985,0.022236667166114284,0.02332644629646275,0.0012484814325788116,0.0012986454347377052,0.0012986454347377052,0.287532214399677,91
EMAMILTD.NS,7,1.7145603697949205,0.00020695815088338451,0.12739558623920982,0.0005054261452017428,-0.0065766216735493556,0.0006415979021535824,2.9517434027323083e-05,2.9517434027323077e-05,0.03986321636501641,6
ENDURANCE.NS,52,13.044883772071937,0.0,0.15340274681978158,0.012237507993310463,0.01022921023817321,0.0008537352953395233,0.000714683714486511,0.0007146837144865111,0.29152691635979683,51
